onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0111880302429	1	heat	48	1	0	Patch2	te-35	2541.2	55
32.5445420742035	1	heat	48	2	0	Patch2	te-35	3794.5	55
47.6105060577393	1	heat	48	3	0	Patch2	te-35	5301.1	55
60.3542621135712	1	heat	48	4	0	Patch2	te-35	6575.5	55
71.4149971008301	1	heat	48	5	0	Patch2	te-35	7681.5	55
82.8978729248047	1	heat	48	6	0	Patch2	te-35	8829.8	55
97.3335258960724	1	heat	48	7	0	Patch2	te-35	10273.4	55
110.71873998642	1	heat	48	8	0	Patch2	te-35	11611.9	55
122.832552909851	1	heat	48	9	0	Patch2	te-35	12823.3	55
136.847495079041	1	heat	48	10	0	Patch2	te-35	14224.8	55
148.119950056076	1	heat	48	11	0	Patch2	te-35	15352.0	55
162.765634059906	1	heat	48	12	0	Patch2	te-35	16816.6	55
176.987021923065	1	heat	48	13	0	Patch2	te-35	18238.7	55
190.791022062302	1	heat	48	14	0	Patch2	te-35	19619.1	55
203.744995117188	1	heat	48	15	0	Patch2	te-35	20914.5	55
218.600716114044	1	heat	48	16	0	Patch2	te-35	22400.1	55
230.291006088257	1	heat	48	17	0	Patch2	te-35	23569.1	55
242.191013097763	1	heat	48	18	0	Patch2	te-35	24759.1	55
255.354464054108	1	heat	48	19	0	Patch2	te-35	26075.5	55
268.949146986008	1	heat	48	20	0	Patch2	te-35	27435.0	55
