onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0202689170837	1	heat	48	1	1	Patch1	te-40	2542.1	65
31.9235699176788	1	heat	48	2	1	Patch1	te-40	3732.4	65
45.7285358905792	1	heat	48	3	1	Patch1	te-40	5112.9	65
58.472268819809	1	heat	48	4	1	Patch1	te-40	6387.3	65
72.4873089790344	1	heat	48	5	1	Patch1	te-40	7788.8	65
87.3430299758911	1	heat	48	6	1	Patch1	te-40	9274.3	65
101.778461933136	1	heat	48	7	1	Patch1	te-40	10717.9	65
113.470572948456	1	heat	48	8	1	Patch1	te-40	11887.1	65
125.583721876144	1	heat	48	9	1	Patch1	te-40	13098.4	65
138.757613897324	1	heat	48	10	1	Patch1	te-40	14415.8	65
153.401340961456	1	heat	48	11	1	Patch1	te-40	15880.2	65
168.467494010925	1	heat	48	12	1	Patch1	te-40	17386.8	65
179.740160942078	1	heat	48	13	1	Patch1	te-40	18514.1	65
192.273970842361	1	heat	48	14	1	Patch1	te-40	19767.4	65
206.490661859512	1	heat	48	15	1	Patch1	te-40	21189.1	65
217.973363876343	1	heat	48	16	1	Patch1	te-40	22337.4	65
231.353513002396	1	heat	48	17	1	Patch1	te-40	23675.4	65
244.948134899139	1	heat	48	18	1	Patch1	te-40	25034.9	65
257.271312952042	1	heat	48	19	1	Patch1	te-40	26267.2	65
268.333750009537	1	heat	48	20	1	Patch1	te-40	27373.4	65
