onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0207068920135	1	heat	48	1	1	Patch2	te-40	2542.0	55
33.8255279064178	1	heat	48	2	1	Patch2	te-40	3922.5	55
48.681499004364	1	heat	48	3	1	Patch2	te-40	5408.1	55
60.1642289161682	1	heat	48	4	1	Patch2	te-40	6556.4	55
74.8098030090332	1	heat	48	5	1	Patch2	te-40	8020.9	55
87.9802300930023	1	heat	48	6	1	Patch2	te-40	9338.0	55
99.6727390289307	1	heat	48	7	1	Patch2	te-40	10507.2	55
114.738756895065	1	heat	48	8	1	Patch2	te-40	12013.8	55
125.791557073593	1	heat	48	9	1	Patch2	te-40	13119.1	55
140.017462015152	1	heat	48	10	1	Patch2	te-40	14541.7	55
151.920092105865	1	heat	48	11	1	Patch2	te-40	15732.0	55
166.352117061615	1	heat	48	12	1	Patch2	te-40	17175.2	55
179.305834054947	1	heat	48	13	1	Patch2	te-40	18470.5	55
192.048192024231	1	heat	48	14	1	Patch2	te-40	19744.8	55
204.372102022171	1	heat	48	15	1	Patch2	te-40	20977.2	55
218.3871281147	1	heat	48	16	1	Patch2	te-40	22378.7	55
231.771306037903	1	heat	48	17	1	Patch2	te-40	23717.1	55
243.884211063385	1	heat	48	18	1	Patch2	te-40	24928.4	55
255.156271934509	1	heat	48	19	1	Patch2	te-40	26055.6	55
267.689553976059	1	heat	48	20	1	Patch2	te-40	27308.9	55
