onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.018	1	heat	48	1	0	Patch5	te-35	2541.8	70
35.084	1	heat	48	2	0	Patch5	te-35	4048.4	70
49.518	1	heat	48	3	0	Patch5	te-35	5491.8	70
62.262	1	heat	48	4	0	Patch5	te-35	6766.2	70
75.214	1	heat	48	5	0	Patch5	te-35	8061.4	70
86.274	1	heat	48	6	0	Patch5	te-35	9167.4	70
97.546	1	heat	48	7	0	Patch5	te-35	10294.6	70
109.029	1	heat	48	8	0	Patch5	te-35	11442.9	70
123.882	1	heat	48	9	0	Patch5	te-35	12928.2	70
137.474	1	heat	48	10	0	Patch5	te-35	14287.4	70
152.12	1	heat	48	11	0	Patch5	te-35	15752.0	70
165.505	1	heat	48	12	0	Patch5	te-35	17090.5	70
177.618	1	heat	48	13	0	Patch5	te-35	18301.8	70
189.302	1	heat	48	14	0	Patch5	te-35	19470.2	70
202.474	1	heat	48	15	0	Patch5	te-35	20787.4	70
216.489	1	heat	48	16	0	Patch5	te-35	22188.9	70
228.392	1	heat	48	17	0	Patch5	te-35	23379.2	70
240.715	1	heat	48	18	0	Patch5	te-35	24611.5	70
254.518	1	heat	48	19	0	Patch5	te-35	25991.8	70
267.051	1	heat	48	20	0	Patch5	te-35	27245.1	70
