onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0126070976257	1	heat	48	1	1	Patch2	te-40	2541.3	70
31.2850441932678	1	heat	48	2	1	Patch2	te-40	3668.5	70
42.977972984314	1	heat	48	3	1	Patch2	te-40	4837.8	70
54.8811590671539	1	heat	48	4	1	Patch2	te-40	6028.1	70
67.2043890953064	1	heat	48	5	1	Patch2	te-40	7260.4	70
81.0011169910431	1	heat	48	6	1	Patch2	te-40	8640.1	70
94.3853921890259	1	heat	48	7	1	Patch2	te-40	9978.5	70
108.610537052155	1	heat	48	8	1	Patch2	te-40	11401.1	70
123.676918983459	1	heat	48	9	1	Patch2	te-40	12907.7	70
136.420881032944	1	heat	48	10	1	Patch2	te-40	14182.1	70
147.903947114944	1	heat	48	11	1	Patch2	te-40	15330.4	70
162.759894132614	1	heat	48	12	1	Patch2	te-40	16816.0	70
176.35467505455	1	heat	48	13	1	Patch2	te-40	18175.5	70
190.789942026138	1	heat	48	14	1	Patch2	te-40	19619.0	70
204.804792165756	1	heat	48	15	1	Patch2	te-40	21020.5	70
217.338366985321	1	heat	48	16	1	Patch2	te-40	22273.8	70
228.4007999897	1	heat	48	17	1	Patch2	te-40	23380.1	70
243.04673910141	1	heat	48	18	1	Patch2	te-40	24844.7	70
256.00077009201	1	heat	48	19	1	Patch2	te-40	26140.1	70
269.174736022949	1	heat	48	20	1	Patch2	te-40	27457.5	70
